prefecture_jp,city_jp,prefecture,city,population,prefecture_hira,city_hira
徳島県,美馬市,Tokushima,Mima-shi,30501,とくしまけん,みまし
富山県,小矢部市,Toyama ,Oyabe-shi,30399,とやまけん,おやべし
新潟県,胎内市,Niigata ,Tainai,30198,にいがたけん,たいないし
大分県,杵築市,Oita ,Kitsuki-shi,30185,おおいたけん,きつきし
宮城県,角田市,Miyagi ,Kakuda,30180,みやぎけん,かくだし
兵庫県,相生市,Hyogo ,Aioi,30129,ひょうごけん,あいおいし
長野県,東御市,Nagano ,Tomi,30107,ながのけん,とうみし
佐賀県,鹿島市,Saga ,Kashima-shi,29684,さがけん,かしまし
福井県,小浜市,Fukui ,Obama,29670,ふくいけん,おばまし
茨城県,高萩市,Ibaraki ,Takahagi,29638,いばらきけん,たかはぎし
福岡県,うきは市,Fukuoka ,Ukiha-shi,29509,ふくおかけん,うきはし
広島県,安芸高田市,Hiroshima,Aki Takada,29488,ひろしまけん,あきたかたし
和歌山県,新宮市,Wakayama ,Shingu,29331,わかやまけん,しんぐうし
鹿児島県,いちき串木野市,Kagoshima ,Ichikikushikino-shi,29282,かごしまけん,いちきくしきのし
茨城県,潮来市,Ibaraki ,Itako-shi,29111,いばらきけん,いたこし
北海道,名寄市,Hokkaido,Nayoro,29048,ほっかいどう,なよろし
福井県,あわら市,Fukui ,Awara-shi,28729,ふくいけん,あわらし
長崎県,西海市,Nagasaki ,Saikai,28691,ながさきけん,さいかいし
大分県,国東市,Oita ,Kunisaki,28647,おおいたけん,くにさきし
和歌山県,有田市,Wakayama ,Arita-shi,28470,わかやまけん,ありだし
秋田県,男鹿市,Akita,Oga-shi,28375,あきたけん,おがし
福岡県,宮若市,Fukuoka ,Miyawaka,28112,ふくおかけん,みやわかし
岩手県,遠野市,Iwate ,Tono-shi,28062,いわてけん,とおのし
長野県,大町市,Nagano ,Omachi,28041,ながのけん,おおまちし
岡山県,美作市,Okayama ,Mimasaka,27977,おかやまけん,みまさかし
広島県,大竹市,Hiroshima,Otake,27865,ひろしまけん,おおたけし
新潟県,加茂市,Niigata ,Kamo shi,27852,にいがたけん,かもし
山形県,長井市,Yamagata ,Nagai-shi,27757,やまがたけん,ながいし
岩手県,二戸市,Iwate ,Ninohe,27611,いわてけん,にのへし
秋田県,仙北市,Akita,Semboku,27523,あきたけん,せんぼくし
高知県,香美市,Kochi ,Kami-shi,27513,こうちけん,かみし
佐賀県,嬉野市,Saga ,Ureshino,27366,さがけん,うれしのし
石川県,輪島市,Ishikawa ,Wajima,27216,いしかわけん,わじまし
岐阜県,山県市,Gifu ,Yamagata,27114,ぎふけん,やまがたし
長崎県,壱岐市,Nagasaki ,Iki,27103,ながさきけん,いきし
栃木県,那須烏山市,Tochigi ,Nasukarasuyama,27047,とちぎけん,なすからすやまし
高知県,土佐市,Kochi ,Tosa-shi,27038,こうちけん,とさし
熊本県,阿蘇市,Kumamoto ,Aso,27018,くまもとけん,あそし
熊本県,上天草市,Kumamoto ,Kamiamakusa,27006,くまもとけん,かみあまくさし
北海道,根室市,Hokkaido,Nemuro-shi,26917,ほっかいどう,ねむろし
奈良県,御所市,Nara ,Gose,26868,ならけん,ごせし
徳島県,三好市,Tokushima,Miyoshi,26836,とくしまけん,みよしし
鹿児島県,伊佐市,Kagoshima ,Isa-shi,26810,かごしまけん,いさし
広島県,竹原市,Hiroshima,Takehara,26426,ひろしまけん,たけはらし
岩手県,八幡平市,Iwate ,Hachimantai,26355,いわてけん,はちまんたいし
山口県,美祢市,Yamaguchi ,Mine,26159,やまぐちけん,みねし
福岡県,豊前市,Fukuoka ,Buzen,25940,ふくおかけん,ぶぜんし
山梨県,大月市,Yamanashi ,Otsuki,25419,やまなしけん,おおつきし
熊本県,水俣市,Kumamoto ,Minamata,25411,くまもとけん,みなまたし
秋田県,にかほ市,Akita,Nikaho,25324,あきたけん,にかほし
山梨県,上野原市,Yamanashi ,Uenohara-shi,24805,やまなしけん,うえのはらし
和歌山県,御坊市,Wakayama ,Gobo,24801,わかやまけん,ごぼうし
岐阜県,飛騨市,Gifu ,Hida,24696,ぎふけん,ひだし
山形県,村山市,Yamagata ,Murayama,24684,やまがたけん,むらやまし
島根県,江津市,Shimane ,Gotsu,24468,しまねけん,ごうつし
広島県,江田島市,Hiroshima,Etajima,24339,ひろしまけん,えたじまし
兵庫県,養父市,Hyogo ,Yabu,24288,ひょうごけん,やぶし
福井県,勝山市,Fukui ,Katsuyama,24125,ふくいけん,かつやまし
長崎県,松浦市,Nagasaki ,Matsuura,23309,ながさきけん,まつうらし
北海道,紋別市,Hokkaido,Monbetsu,23109,ほっかいどう,もんべつし
北海道,美唄市,Hokkaido,Bibai,23035,ほっかいどう,びばいし
北海道,富良野市,Hokkaido,Furano,22936,ほっかいどう,ふらのし
静岡県,下田市,Shizuoka ,Shimoda,22916,しずおかけん,しもだし
大分県,豊後高田市,Oita ,Bungotakada,22853,おおいたけん,ぶんごたかだし
高知県,須崎市,Kochi ,Susaki,22606,こうちけん,すさきし
大分県,竹田市,Oita ,Takeda-shi,22332,おおいたけん,たけたし
北海道,留萌市,Hokkaido,Rumoi,22221,ほっかいどう,るもいし
鹿児島県,枕崎市,Kagoshima ,Makurazaki,22046,かごしまけん,まくらざきし
北海道,深川市,Hokkaido,Fukagawa,21909,ほっかいどう,ふかがわし
石川県,羽咋市,Ishikawa ,Hakui,21729,いしかわけん,はくいし
長野県,飯山市,Nagano ,Iiyama-shi,21438,ながのけん,いいやまし
鹿児島県,阿久根市,Kagoshima ,Akune,21198,かごしまけん,あくねし
高知県,宿毛市,Kochi ,Sukumo,20907,こうちけん,すくもし
岐阜県,美濃市,Gifu ,Mino,20760,ぎふけん,みのし
北海道,士別市,Hokkaido,Shibetsu,19914,ほっかいどう,しべつし
岩手県,陸前高田市,Iwate ,Rikuzentakata,19758,いわてけん,りくぜんたかたし
佐賀県,多久市,Saga ,Taku,19749,さがけん,たくし
宮崎県,えびの市,Miyazaki,Ebino,19538,みやざきけん,えびのし
三重県,鳥羽市,Mie ,Toba,19448,みえけん,とばし
千葉県,勝浦市,Chiba ,Katsuura,19248,ちばけん,かつうらし
宮崎県,串間市,Miyazaki,Kushima-shi,18779,みやざきけん,くしまし
京都府,宮津市,Kyoto,Miyazu,18426,きょうとふ,みやづし
三重県,尾鷲市,Mie ,Owase,18009,みえけん,おわせし
大分県,津久見市,Oita ,Tsukumi,17969,おおいたけん,つくみし
北海道,砂川市,Hokkaido,Sunagawa-shi,17694,ほっかいどう,すながわし
高知県,安芸市,Kochi ,Aki-shi,17577,こうちけん,あきし
三重県,熊野市,Mie ,Kumano-shi,17322,みえけん,くまのし
山形県,尾花沢市,Yamagata ,Obanazawa,16953,やまがたけん,おばなざわし
鹿児島県,西之表市,Kagoshima ,Nishinoomote,15967,かごしまけん,にしのおもてし
鹿児島県,垂水市,Kagoshima ,Tarumi,15520,かごしまけん,たるみずし
北海道,芦別市,Hokkaido,Ashibetsu,14676,ほっかいどう,あしべつし
石川県,珠洲市,Ishikawa ,Suzu,14625,いしかわけん,すずし
高知県,土佐清水市,Kochi ,Tosashimizu,13778,こうちけん,とさしみずし
高知県,室戸市,Kochi ,Muroto,13524,こうちけん,むろとし
北海道,赤平市,Hokkaido,Akabira,11105,ほっかいどう,あかびらし
北海道,三笠市,Hokkaido,Mikasa,9076,ほっかいどう,みかさし
北海道,夕張市,Hokkaido,Yubari,8843,ほっかいどう,ゆうばりし
北海道,歌志内市,Hokkaido,Utashinai,3583,ほっかいどう,うたしないし
