prefecture_jp,city_jp,prefecture,city,population,prefecture_hira,city_hira
東京都,日野市,Tokyo,Hino,186283,とうきょうと,ひのし
大阪府,和泉市,Osaka ,Izumi,186109,おおさかふ,いずみし
茨城県,日立市,Ibaraki ,Hitachi,185054,いばらきけん,ひたちし
京都府,宇治市,Kyoto,Uji,184678,きょうとふ,うじし
愛知県,安城市,Aichi,Anjo-shi,184140,あいちけん,あんじょうし
愛知県,豊川市,Aichi,Toyokawa,182436,あいちけん,とよかわし
青森県,弘前市,Aomori ,Hirosaki,177411,あおもりけん,ひろさきし
東京都,立川市,Tokyo,Tachikawa,176295,とうきょうと,たちかわし
北海道,釧路市,Hokkaido,Kushiro,174742,ほっかいどう,くしろし
千葉県,流山市,Chiba ,Nagareyama,174373,ちばけん,ながれやまし
神奈川県,鎌倉市,Kanagawa ,Kamakura,173019,かながわけん,かまくらし
千葉県,佐倉市,Chiba ,Sakura,172739,ちばけん,さくらし
北海道,苫小牧市,Hokkaido,Tomakomai,172737,ほっかいどう,とまこまいし
富山県,高岡市,Toyama ,Takaoka,172125,とやまけん,たかおかし
島根県,出雲市,Shimane ,Izumo,171938,しまねけん,いずもし
山口県,宇部市,Yamaguchi ,Ube,169429,やまぐちけん,うべし
北海道,帯広市,Hokkaido,Obihiro,169327,ほっかいどう,おびひろし
愛知県,西尾市,Aichi,Nishio,167990,あいちけん,にしおし
千葉県,習志野市,Chiba ,Narashino-shi,167909,ちばけん,ならしのし
神奈川県,秦野市,Kanagawa ,Hatano,167378,かながわけん,はだのし
静岡県,磐田市,Shizuoka ,Iwata-shi,167210,しずおかけん,いわたし
栃木県,小山市,Tochigi ,Oyama,166760,とちぎけん,おやまし
宮崎県,都城市,Miyazaki,Miyakonojo,165029,みやざきけん,みやこのじょうし
千葉県,浦安市,Chiba ,Urayasu,164024,ちばけん,うらやすし
三重県,松阪市,Mie ,Matsusaka,163863,みえけん,まつさかし
埼玉県,新座市,Saitama,Niiza,162122,さいたまけん,にいざし
岐阜県,大垣市,Gifu ,Ogaki,159879,ぎふけん,おおがきし
栃木県,栃木市,Tochigi ,Tochigi,159211,とちぎけん,とちぎし
愛媛県,今治市,Ehime ,Imabari,158114,えひめけん,いまばりし
長野県,上田市,Nagano ,Ueda,156827,ながのけん,うえだし
兵庫県,川西市,Hyogo ,Kawanishi,156375,ひょうごけん,かわにしし
茨城県,ひたちなか市,Ibaraki ,Hitachinaka,155689,いばらきけん,ひたちなかし
千葉県,野田市,Chiba ,Noda-shi,153583,ちばけん,のだし
埼玉県,狭山市,Saitama,Sayama,152405,さいたまけん,さやまし
埼玉県,久喜市,Saitama,Kuki,152311,さいたまけん,くきし
東京都,東村山市,Tokyo,Higashimurayama,149956,とうきょうと,ひがしむらやまし
愛知県,刈谷市,Aichi,Kariya,149765,あいちけん,かりやし
愛知県,小牧市,Aichi,Komaki,149462,あいちけん,こまきし
栃木県,足利市,Tochigi ,Ashikaga,149452,とちぎけん,あしかがし
鳥取県,米子市,Tottori ,Yonago,149313,とっとりけん,よなごし
埼玉県,入間市,Saitama,Iruma-shi,148390,さいたまけん,いるまし
宮城県,石巻市,Miyagi ,Ishinomaki,147214,みやぎけん,いしのまきし
東京都,多摩市,Tokyo,Tama,146631,とうきょうと,たまし
山口県,周南市,Yamaguchi ,Shunan,144842,やまぐちけん,しゅうなんし
東京都,武蔵野市,Tokyo,Musashino,144730,とうきょうと,むさしのし
岐阜県,各務原市,Gifu ,Kakamigahara,144690,ぎふけん,かかみがはらし
埼玉県,深谷市,Saitama,Fukaya,143811,さいたまけん,ふかやし
静岡県,藤枝市,Shizuoka ,Fujieda,143605,しずおかけん,ふじえだし
大阪府,守口市,Osaka ,Moriguchi-shi,143042,おおさかふ,もりぐちし
東京都,中央区,Tokyo,Chuo-ku,141183,とうきょうと,ちゅうおうく
茨城県,古河市,Ibaraki ,Koga-shi,140946,いばらきけん,こがし
